"","ts_value_id","ts_id","datetime","req_timestamp","ts_value","station_latitude","station_longitude","stationparameter_name","station_name","station_no","dataprovider","dataowner","significant","Portal_Bekken","Actuele.status"
"204",352,"0488235010"," 4 januari 2024 07:00",NA,0,50.7844688516595,4.28839005991179,"H","Ruisbroek/Kl Brussel-Charleroi","04kbc02g-1066","MOW-HIC","HIC","0","Dijlebekken","Normaal"
"205",355,"0193064042"," 4 januari 2024 07:02",NA,0,50.7892317923877,4.91913138896074,"H","Oorbeek/Grote Gete","01L09_155","VMM","VMM","0","Demerbekken","Normaal"
"206",356,"04123823010"," 4 januari 2024 07:15",NA,0,50.8934151208999,2.86677106613346,"H","Boezinge dorp Afwaarts DVW/Kl Ieper-Ijzer","04WP005-AFW-1073","MOW-HIC","DVW-ARW","0","Ijzerbekken","Normaal"
"207",360,"01245132042"," 4 januari 2024 07:02",NA,0,50.7915540177442,3.62257299330959,"H","Nukerke/Molenbeek","01L06_34D","VMM","VMM","","Boven-Scheldebekken","Normaal"
"208",362,"0488023010"," 4 januari 2024 07:15",NA,0,50.7990566788425,3.92956847917018,"H","Idegem Opwaarts DVW/Dender","04OW407-OPW-1073","MOW-HIC","DVW-ARW","0","Denderbekken","Normaal"
"209",363,"0193494042"," 4 januari 2024 07:02",NA,0,50.9456273918501,4.40122490688286,"H","Grimbergen/Maalbeek","01L08_231","VMM","VMM","0","Dijlebekken","Normaal"
"210",364,"04123879010"," 4 januari 2024 07:15",NA,0,50.9998007898177,4.37157514332678,"H","Zemst Sluis Afwaarts DVW/Kl Brussel-Schelde","04BS-ZEM-AFW-1095","MOW-HIC","DVW-ARC","0","Dijlebekken","Normaal"
"211",366,"0494258010"," 4 januari 2024 07:14",NA,0,50.9952185731875,4.4640761435914,"W","Zemst tij/Zenne","04zen02a-1066","MOW-HIC","HIC","0","Dijlebekken","Normaal"
"212",367,"0488079010"," 4 januari 2024 07:15",NA,0,50.7086017405634,4.22148536085092,"H","Lembeek Sluis Opwaarts DVW/Kl Brussel-Charleroi","04KC-LEM-OPW-1095","MOW-HIC","DVW-ARC","0","Dijlebekken","Normaal"
"213",368,"0494235010"," 4 januari 2024 07:14",NA,0,51.0844137690576,4.360221382724,"W","Boom Rupelbrug DVW tij/Rupel","04BS-RUP-1095","MOW-HIC","DVW-ARC","0","Beneden-Scheldebekken","Normaal"
"214",372,"01303562042"," 4 januari 2024 07:00",NA,0,50.7972443822579,4.64296518846761,"Hopw","St-Agatha-Rode/Grand Marbaise/schuif/opwaarts","01K08_11Y","VMM","VMM","","Dijlebekken","Normaal"
"215",374,"0488091010"," 4 januari 2024 07:00",NA,0,50.9576956414314,2.73610386763003,"H","Lo-Fintele/Lokl","04lok03c-1066","MOW-HIC","HIC","0","Ijzerbekken","Normaal"
"216",378,"01277172042"," 4 januari 2024 07:02",NA,0,50.8124284499878,3.61266412679552,"H","Etikhove/Maria Borrebeek","01L06_348","VMM","VMM","0","Boven-Scheldebekken","Normaal"
"217",379,"0487819010"," 4 januari 2024 07:15",NA,0,50.9172286264315,3.66554479873377,"H","Asper Afwaarts DVW/Bovenschelde","04OW098-AFW-1073","MOW-HIC","DVW-ARW","0","Boven-Scheldebekken","Normaal"
"218",380,"01122389042"," 4 januari 2024 07:02",NA,0,51.2484702495496,4.11819874047132,"H","Sint-Gillis-Waas/Notendijk","01S04_00K","VMM","Polder Land van Waas","0","Beneden-Scheldebekken","Normaal"
"219",381,"0193540042"," 4 januari 2024 07:02",NA,0,50.8854183462459,3.68613009931733,"H","Nederzwalm/Zwalmbeek","01L06_342","VMM","VMM","1","Boven-Scheldebekken","Normaal"
"220",383,"04111840010"," 4 januari 2024 07:14",NA,0,51.0925568254726,4.17099518412598,"W","Driegoten tij/Zeeschelde","04zes39a-1066","MOW-HIC","HIC","0","Beneden-Scheldebekken","Normaal"
"221",389,"0193624042"," 4 januari 2024 07:02",NA,0,51.1747308774943,2.91215517139285,"H","Snaaskerke/Provinciegeleed","01L01_42J","VMM","VMM","0","Ijzerbekken","Normaal"
"222",390,"0193100042"," 4 januari 2024 07:02",NA,0,50.8920316329066,5.52548541263401,"H","Munsterbilzen/Munsterbeek","01L09_168","VMM","VMM","0","Demerbekken","Normaal"
"223",391,"0484214010"," 4 januari 2024 07:15",NA,0,50.9378462498414,4.04590105078196,"H","Aalst Opwaarts DVW/Dender","04OW403-OPW-1073","MOW-HIC","DVW-ARW","0","Denderbekken","Normaal"
"224",395,"0193656042"," 4 januari 2024 07:02",NA,0,51.2824746226093,3.28891789899332,"H","Oostkerke/Zwinnevaart","01L02_456","VMM","VMM","0","Bekken Brugse polders","Normaal"
